id,tactic_id,creative_library_id,creative_asset_id,active,deleted,click_tracker_url,click_tracker_encoding_level,impression_pixel_json,js_pixel_json,clickthrough_pixel_json,viewability_pixel_json,last_modified
17465,334091,12153,30417,1,0,https://ad.doubleclick.net/ddm/trackclk/N4268.456584.XAXIS.COM/B9372109.127404254;dc_trk_aid=300537790;dc_trk_cid=68293971;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N4268.456584.XAXIS.COM\/B9372109.127404254;dc_trk_aid=300537790;dc_trk_cid=68293971;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?\"" BORDER=\""0\"" HEIGHT=\""1\"" WIDTH=\""1\""""]",NULL,NULL,NULL,2/2/16 15:06
18227,334059,12122,30996,1,0,,0,[],[],[],NULL,2/12/16 18:38
25488,336957,14395,38614,1,0,http://pixel.mathtag.com/click/img?mt_aid=${[BID_ATTR.bid_id]}&mt_id=${[AD_ATTR.creative]}&mt_adid=${[AD_ATTR.advertiser]}&redirect=,0,NULL,NULL,NULL,NULL,3/22/16 13:41
14993,331204,9712,22145,1,0,NULL,0,[],NULL,NULL,NULL,2/1/16 19:01
5549,329157,7998,17246,1,0,,0,[],[],[],NULL,10/29/15 9:15
29060,338258,15434,42267,1,0,https://ad.doubleclick.net/ddm/clk/303600099;130836202;q?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N3577.2100704VIVAKI-TRIPLELIFT\/B9428917.130836202;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/31751?limit=1""]",NULL,"[""http:\/\/tags.bluekai.com\/site\/31753?limit=1""]",NULL,4/6/16 1:09
3550,325185,4811,9053,1,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=,0,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=14244397&PluID=0&ord=[timestamp]&rtu=-1""]",[],[],,8/18/15 2:44
14212,327632,6816,13254,1,0,http://api.choicestream.com/instr/crunch/apnxs/clk?au=${AUCTION_ID}&cr=${CREATIVE_ID}&li=${CPG_ID}&cp=${CP_ID}&uid=${USER_ID}&ecp=${ECP}&rp=${RESERVE_PRICE}&bid1=${BID_PRICE}&pr=${PRICE_PAID}&invs=${INV_SOURCE_ID}&pi=${TAG_ID}&vid=${VENUE_ID}&sid=${SELLER_MEMBER_ID}&ip=${USER_IP}&pc=${POSTAL_CODE}&city=${USER_CITY}&st=${USER_STATE}&ref=${REFERER_URL_ENC}&r=${CACHEBUSTER}&redir:~,0,"[""https:\/\/api.choicestream.com\/instr\/crunch\/apnxs\/imp?au=${AUCTION_ID}&cr=${CREATIVE_ID}&li=${CPG_ID}&cp=${CP_ID}&uid=${USER_ID}&ecp=${ECP}&rp=${RESERVE_PRICE}&bid1=${BID_PRICE}&pr=${PRICE_PAID}&invs=${INV_SOURCE_ID}&pi=${TAG_ID}&vid=${VENUE_ID}&sid=${SELLER_MEMBER_ID}&ip=${USER_IP}&pc=${POSTAL_CODE}&dc=${DATACENTER}&city=${USER_CITY}&st=${USER_STATE}&ref=${REFERER_URL_ENC}&r=${CACHEBUSTER}""]",NULL,NULL,NULL,2/1/16 19:01
2238,322538,2052,3986,1,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=https://ad.doubleclick.net/ddm/clk/290977755;117982957;j?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N9317.152304.TRADINGDESK\/B8689082.117982957;sz=1x1;ord=[timestamp]?""]",[],[],,8/18/15 2:38
20137,334635,12653,32522,1,0,http://insight.adsrvr.org/track/clk?ttd_r=${__TTD_CLK__}&r=https://ad.doubleclick.net/ddm/trackclk/N4694.IPN346/B7979853.128634695;dc_trk_aid=301577740;dc_trk_cid=68916718;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N4694.IPN346\/B7979853.128634695;dc_trk_aid=301577740;dc_trk_cid=68916718;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]",NULL,NULL,NULL,2/11/16 18:59
14100,327151,6381,11812,1,0,NULL,0,[],NULL,NULL,NULL,2/1/16 19:01
5645,329247,7878,17037,1,0,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=15305133&PluID=0&ord=[timestamp]&rtu=,1,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=15305133&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/29699?limit=1""]",[],12/9/15 1:38
2966,323994,3690,6901,1,0,http://pixel.mathtag.com/click/img?mt_aid=${[BID_ATTR.bid_id]}&mt_id=${[AD_ATTR.creative]}&mt_adid=${[AD_ATTR.advertiser]}&redirect=http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=13329405&PluID=0&ord=[timestamp]&rtu=,1,"[""http:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=13329405&PluID=0&ord=[timestamp]&rtu=-1""]",[],[],,8/18/15 2:40
25389,336910,14338,38444,1,0,NULL,0,"[""https:\/\/ad.atdmt.com\/i\/img;p=11142202565631;a=11142203245028;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=""]",[],[],[],3/21/16 16:07
28450,337891,15066,41353,0,0,https://ad.doubleclick.net/ddm/clk/303232520;130418178;o?,0,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N6049.1355588.DOUBLECLICK.COMBID\/B9607545.130418178;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]",[],[],"[""https:\/\/pixel.adsafeprotected.com\/rjss\/st\/55077\/8479943\/skeleton.js""]",4/7/16 14:13
17423,334070,12133,30361,1,0,NULL,0,NULL,NULL,NULL,NULL,2/1/16 23:06
9622,331168,10681,25445,1,0,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=20&mc=click&pli=16042644&PluID=0&ord=[timestamp]&rtu=,1,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=16042644&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29737?limit=1""]",[],"[""http:\/\/tags.bluekai.com\/site\/29739?limit=1""]",[],12/28/15 22:40
22081,335374,13229,34374,1,0,https://ad.atdmt.com/c/go;p=11142202565631;a=11142202567430;ev.a=1;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=?href=,0,"[""https:\/\/ad.atdmt.com\/i\/img;p=11142202565631;a=11142202567430;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=""]",[],[],[],2/26/16 20:25
